"행정구역","2024년09월_계_총인구수","2024년09월_계_연령구간인구수","2024년09월_계_0~9세","2024년09월_계_10~19세","2024년09월_계_20~29세","2024년09월_계_30~39세","2024년09월_계_40~49세","2024년09월_계_50~59세","2024년09월_계_60~69세","2024년09월_계_70~79세","2024년09월_계_80~89세","2024년09월_계_90~99세","2024년09월_계_100세 이상","2024년09월_남_총인구수","2024년09월_남_연령구간인구수","2024년09월_남_0~9세","2024년09월_남_10~19세","2024년09월_남_20~29세","2024년09월_남_30~39세","2024년09월_남_40~49세","2024년09월_남_50~59세","2024년09월_남_60~69세","2024년09월_남_70~79세","2024년09월_남_80~89세","2024년09월_남_90~99세","2024년09월_남_100세 이상","2024년09월_여_총인구수","2024년09월_여_연령구간인구수","2024년09월_여_0~9세","2024년09월_여_10~19세","2024년09월_여_20~29세","2024년09월_여_30~39세","2024년09월_여_40~49세","2024년09월_여_50~59세","2024년09월_여_60~69세","2024년09월_여_70~79세","2024년09월_여_80~89세","2024년09월_여_90~99세","2024년09월_여_100세 이상"
"서울특별시 중구 황학동(1114067000)","13,041","13,041","592","450","2,170","3,242","1,863","1,705","1,612","928","405","71","3","6,130","6,130","320","225","849","1,592","935","836","797","411","147","18","0","6,911","6,911","272","225","1,321","1,650","928","869","815","517","258","53","3"
"서울특별시 중구 중림동(1114068000)","12,106","12,106","898","716","1,342","2,099","2,101","1,830","1,616","929","497","72","6","5,915","5,915","445","395","587","945","1,127","930","843","418","206","17","2","6,191","6,191","453","321","755","1,154","974","900","773","511","291","55","4"
"서울특별시 용산구 (1117000000)","205,145","205,145","10,377","13,082","28,273","36,728","29,707","32,917","28,433","15,396","8,710","1,466","56","98,118","98,118","5,256","6,671","12,851","18,104","14,677","16,028","13,892","6,864","3,303","454","18","107,027","107,027","5,121","6,411","15,422","18,624","15,030","16,889","14,541","8,532","5,407","1,012","38"
"서울특별시 용산구 후암동(1117051000)","15,888","15,888","648","1,088","2,088","2,806","2,269","2,567","2,335","1,288","688","103","8","7,650","7,650","341","590","995","1,441","1,117","1,255","1,086","570","231","23","1","8,238","8,238","307","498","1,093","1,365","1,152","1,312","1,249","718","457","80","7"
"서울특별시 용산구 용산2가동(1117052000)","8,759","8,759","236","428","1,274","1,626","1,201","1,217","1,329","870","502","73","3","4,304","4,304","121","231","650","868","652","578","605","382","199","16","2","4,455","4,455","115","197","624","758","549","639","724","488","303","57","1"
"서울특별시 용산구 남영동(1117053000)","6,756","6,756","121","220","758","1,050","783","1,418","1,458","616","293","34","5","4,123","4,123","60","124","349","575","467","968","1,032","389","145","12","2","2,633","2,633","61","96","409","475","316","450","426","227","148","22","3"
"서울특별시 용산구 청파동(1117055500)","18,713","18,713","440","935","3,995","3,398","2,212","2,947","2,494","1,413","784","92","3","8,654","8,654","221","454","1,500","1,779","1,126","1,480","1,197","581","291","23","2","10,059","10,059","219","481","2,495","1,619","1,086","1,467","1,297","832","493","69","1"
"서울특별시 용산구 원효로제1동(1117056000)","17,036","17,036","1,072","922","2,842","4,255","2,614","2,193","1,819","872","382","64","1","7,879","7,879","554","479","1,103","1,956","1,265","1,078","877","405","138","24","0","9,157","9,157","518","443","1,739","2,299","1,349","1,115","942","467","244","40","1"
"서울특별시 용산구 원효로제2동(1117057000)","13,518","13,518","699","940","1,832","2,372","1,897","2,224","1,880","1,030","548","93","3","6,357","6,357","326","426","798","1,146","965","1,088","902","478","201","27","0","7,161","7,161","373","514","1,034","1,226","932","1,136","978","552","347","66","3"
"서울특별시 용산구 효창동(1117058000)","10,550","10,550","670","673","1,520","2,001","1,567","1,733","1,249","680","390","67","0","4,954","4,954","324","351","671","968","757","811","614","285","153","20","0","5,596","5,596","346","322","849","1,033","810","922","635","395","237","47","0"
"서울특별시 용산구 용문동(1117059000)","11,209","11,209","569","634","1,542","1,928","1,505","1,850","1,606","1,000","511","60","4","5,292","5,292","271","324","724","964","734","892","751","426","192","12","2","5,917","5,917","298","310","818","964","771","958","855","574","319","48","2"
"서울특별시 용산구 한강로동(1117062500)","20,929","20,929","1,195","941","3,087","4,917","2,803","3,164","2,733","1,293","676","114","6","9,914","9,914","609","477","1,328","2,295","1,374","1,489","1,373","650","284","34","1","11,015","11,015","586","464","1,759","2,622","1,429","1,675","1,360","643","392","80","5"
