hpid1,hpid2,travel_time,측정시각
A1300007,A1300005,13.8176,241031_003737
A1300007,A1300006,5.353,241031_003737
A1300007,A1300008,15.6298,241031_003737
A1300007,A1300009,18.6891,241031_003737
A1300007,A1300010,18.5358,241031_003737
A1300007,A1300011,18.4898,241031_003737
A1300007,A1300018,24.2025,241031_003737
A1300007,A1300033,18.6144,241031_003737
A1300007,A1300034,11.9062,241031_003737
A1300007,A1300038,16.4079,241031_003737
A1300007,A1300045,15.3559,241031_003737
A1300007,A1300076,13.6719,241031_003737
A1300007,A1300081,27.3133,241031_003737
A1300007,A1300110,5.811,241031_003737
A1300007,A1303386,15.2753,241031_003737
A1300007,A1303449,28.1261,241031_003737
A1300007,A2700001,68.5306,241031_003737
A1300007,A2700002,66.0233,241031_003737
A1300007,A2700003,58.9783,241031_003737
A1300007,A2700004,67.2275,241031_003737
A1300007,A2700005,64.5998,241031_003737
A1300007,A2700006,70.6916,241031_003737
A1300007,A2700007,35.1171,241031_003737
A1300007,A2700008,58.7377,241031_003737
A1300007,A2700009,62.4215,241031_003737
A1300007,A2700011,65.0624,241031_003737
A1300007,A2700012,49.7219,241031_003737
A1300007,A2700013,32.4983,241031_003737
A1300007,A2700014,62.366,241031_003737
A1300007,A2700015,37.8004,241031_003737
A1300007,A2700016,62.3627,241031_003737
A1300007,A2700017,43.816,241031_003737
A1300007,A2700018,49.1416,241031_003737
A1300007,A2700019,33.0677,241031_003737
A1300007,A2700020,81.2378,241031_003737
A1300007,A2700023,74.7116,241031_003737
A1300007,A2700026,99.5105,241031_003737
A1300007,A2700030,36.4604,241031_003737
A1300007,A2700031,82.6066,241031_003737
A1300007,A2700036,34.3904,241031_003737
A1300007,A2700038,39.0553,241031_003737
A1300007,A2700052,142.0423,241031_003737
A1300007,A2700063,58.0985,241031_003737
A1300007,A2700066,24.2963,241031_003737
A1300007,A2700070,31.3313,241031_003737
A1300007,A2700071,94.6044,241031_003737
A1300007,A2700097,58.0089,241031_003737
A1300007,A2702563,66.3112,241031_003737
A1300007,A2702752,80.6999,241031_003737
A1300007,E2700553,340.2804,241031_003737
A1300007,E2700554,73.7293,241031_003737
A1300008,A1300001,10.3403,241031_003737
A1300008,A1300002,7.1026,241031_003737
A1300008,A1300003,24.3365,241031_003737
A1300008,A1300004,13.6436,241031_003737
A1300008,A1300005,19.0478,241031_003737
A1300008,A1300006,13.7398,241031_003737
A1300008,A1300007,14.4266,241031_003737
A1300008,A1300009,10.6514,241031_003737
A1300008,A1300010,19.7357,241031_003737
A1300008,A1300011,20.047,241031_003737
A1300008,A1300018,19.5628,241031_003737
A1300008,A1300033,8.9857,241031_003737
A1300008,A1300034,11.8142,241031_003737
A1300008,A1300038,21.7231,241031_003737
A1300008,A1300045,17.4216,241031_003737
A1300008,A1300076,11.2864,241031_003737
A1300008,A1300081,21.4799,241031_003737
A1300008,A1300110,13.6752,241031_003737
A1300008,A1303386,6.4662,241031_003737
A1300008,A1303449,33.1603,241031_003737
A1300008,A2700001,75.3544,241031_003737
A1300008,A2700002,66.0112,241031_003737
A1300008,A2700003,58.899,241031_003737
A1300008,A2700004,74.1469,241031_003737
A1300008,A2700005,64.538,241031_003737
A1300008,A2700006,75.6926,241031_003737
A1300008,A2700007,40.4148,241031_003737
A1300008,A2700008,58.8053,241031_003737
A1300008,A2700009,67.4335,241031_003737
A1300008,A2700011,70.1298,241031_003737
A1300008,A2700012,55.02,241031_003737
A1300008,A2700013,37.8679,241031_003737
A1300008,A2700014,69.2705,241031_003737
A1300008,A2700015,44.8561,241031_003737
A1300008,A2700016,62.3966,241031_003737
A1300008,A2700017,45.616,241031_003737
A1300008,A2700018,54.4074,241031_003737
A1300008,A2700019,29.5716,241031_003737
A1300008,A2700020,88.028,241031_003737
A1300008,A2700023,81.6088,241031_003737
A1300008,A2700026,106.1959,241031_003737
A1300008,A2700030,39.7395,241031_003737
A1300008,A2700031,89.3477,241031_003737
A1300008,A2700036,28.7149,241031_003737
A1300008,A2700038,36.829,241031_003737
A1300008,A2700052,148.4866,241031_003737
A1300008,A2700063,65.8616,241031_003737
A1300008,A2700066,29.6859,241031_003737
A1300008,A2700070,41.3641,241031_003737
A1300008,A2700071,101.3766,241031_003737
A1300008,A2700097,57.9866,241031_003737
A1300008,A2702563,66.298,241031_003737
A1300008,A2702752,87.5815,241031_003737
A1300008,E2700553,330.4131,241031_003737
A1300008,E2700554,80.6653,241031_003737
A1300009,A1300001,16.5499,241031_003737
A1300009,A1300002,11.8748,241031_003737
A1300009,A1300003,23.7413,241031_003737
A1300009,A1300004,19.4802,241031_003737
A1300009,A1300005,19.4955,241031_003737
A1300009,A1300006,21.9853,241031_003737
A1300009,A1300007,23.0528,241031_003737
A1300009,A1300008,12.7132,241031_003737
A1300009,A1300010,19.4275,241031_003737
A1300009,A1300011,22.662,241031_003737
A1300009,A1300018,12.8362,241031_003737
A1300009,A1300033,8.1299,241031_003737
A1300009,A1300034,17.4774,241031_003737
A1300009,A1300038,24.8047,241031_003737
A1300009,A1300045,20.3989,241031_003737
A1300009,A1300076,18.0895,241031_003737
A1300009,A1300081,19.2533,241031_003737
A1300009,A1300110,21.9649,241031_003737
A1300009,A1303386,14.0978,241031_003737
A1300009,A1303449,36.0544,241031_003737
A1300009,A2700001,76.8198,241031_003737
A1300009,A2700002,65.516,241031_003737
A1300009,A2700003,59.2618,241031_003737
A1300009,A2700004,75.5648,241031_003737
