시도,시군구,읍면동,우편번호,주소,센터명,경도,위도,행정구역코드,인구수
경기,포천시,일동면,11116,경기도 포천시 일동면 화동로1099번길 30,일동면행정복지센터,127.3173123,37.9612463,4165037000,8908
경기,포천시,창수면,11134,경기도 포천시 창수면 메치골로 178,창수면행정복지센터,127.1890604,37.9916814,4165035000,2052
경기,포천시,포천동,11146,경기도 포천시 중앙로119번길 26,포천동행정복지센터,127.199975,37.898307,4165051000,19302
경기,포천시,화현면,11123,경기도 포천시 화현면 달인동로1길 55,화현면행정복지센터,127.2881052,37.9012334,4165041000,2434
경기,하남시,감북동,12990,경기도 하남시 감북로 39,감북동행정복지센터,127.161688,37.516208,4145058000,2916
경기,하남시,감일동,12997,경기도 하남시 감일순환로 181,감일동행정복지센터,127.1590168,37.5080215,4145058200,39629
경기,하남시,덕풍1동,12980,경기도 하남시 덕풍공원로 110,덕풍1동행정복지센터,127.1984451,37.5351443,4145054000,14184
경기,하남시,덕풍2동,12972,경기도 하남시 덕풍공원로 12,덕풍2동행정복지센터,127.1981355,37.5422783,4145055000,17492
경기,하남시,덕풍3동,12927,경기도 하남시 덕풍서로 66,덕풍3동행정복지센터,127.2047464,37.5525612,4145056000,27590
경기,하남시,미사1동,12912,경기도 하남시 미사강변남로 59,미사1동행정복지센터,127.1888159,37.560357,4145061000,53721
경기,하남시,미사2동,12909,경기도 하남시 아리수로 531,미사2동행정복지센터,127.1860375,37.5671338,4145062000,46670
경기,하남시,미사3동,12984,경기도 하남시 하남대로 1037-4,미사3동행정복지센터,127.185108,37.5490329,4145063000,29677
경기,하남시,신장1동,12959,경기도 하남시 신장1로27번길 13,신장1동행정복지센터,127.2094997,37.5387764,4145052000,6901
경기,하남시,신장2동,12947,경기도 하남시 대청로21번길 32,신장2동행정복지센터,127.2139122,37.5416916,4145053000,45141
경기,하남시,위례동,13014,경기도 하남시 위례순환로 310,위례동행정복지센터,127.1525432,37.4772035,4145058500,35259
경기,하남시,천현동,13024,경기도 하남시 검단남로 48,천현동행정복지센터,127.2240489,37.5192377,4145051000,6077
경기,하남시,초이동,12986,경기도 하남시 초이로 65,초이동행정복지센터,127.1708553,37.5366253,4145060000,3095
경기,하남시,춘궁동,13020,경기도 하남시 서하남로 490,춘궁동행정복지센터,127.1941477,37.5221659,4145059000,1341
경기,화성시,기배동,18341,경기도 화성시 기안남로 62,기배동행정복지센터,126.9846413,37.2243293,4159056000,16005
경기,화성시,남양읍,18262,경기도 화성시 남양읍 남양성지로 192-5,남양읍행정복지센터,126.8243629,37.2116065,4159026200,59728
경기,화성시,동탄1동,18446,경기도 화성시 동탄반석로 195,동탄1동행정복지센터,127.0719286,37.2064931,4159058500,50000
경기,화성시,동탄2동,18443,경기도 화성시 동탄반석로 87,동탄2동행정복지센터,127.0723027,37.1969294,4159058600,34303
경기,화성시,동탄3동,18431,경기도 화성시 동탄지성로 151,동탄3동행정복지센터,127.0587756,37.2099405,4159058700,40373
경기,화성시,동탄4동,18476,경기도 화성시 동탄대로시범길 133,동탄4동행정복지센터,127.1123261,37.1998543,4159058800,53241
경기,화성시,동탄5동,18466,경기도 화성시 동탄영천로 84,동탄5동행정복지센터,127.1038915,37.2103056,4159059000,46739
경기,화성시,동탄6동,18480,경기도 화성시 동탄감배산로 54,동탄6동행정복지센터,127.0901756,37.1914638,4159060000,43917
경기,화성시,동탄7동,18501,경기도 화성시 동탄대로8길 36,동탄7동행정복지센터,127.1104927,37.1705083,4159061000,56501
경기,화성시,동탄8동,18500,경기도 화성시 동탄대로 87,동탄8동행정복지센터,127.105276,37.1622997,4159062000,36964
경기,화성시,동탄9동,18492,화성시 동탄신리천로9길 76,동탄9동행정복지센터,127.1383612,37.1807373,4159063000,44731
경기,화성시,마도면,18537,경기도 화성시 마도면 마도북로 389 ,마도면행정복지센터,126.7696337,37.2055104,4159033000,6683
경기,화성시,매송면,18287,경기도 화성시 매송면 매송로 43 ,매송면행정복지센터,126.909155,37.2522226,4159031000,6543
경기,화성시,반월동,18377,경기도 화성시 영통로61번길 32,반월동행정복지센터,127.0605637,37.2331611,4159055000,37177
경기,화성시,병점1동,18411,경기도 화성시 경기대로1010번길 11,병점1동행정복지센터,127.0372731,37.2068683,4159053000,36383
경기,화성시,병점2동,18403,경기도 화성시 병점3로 99,병점2동행정복지센터,127.0430122,37.2114714,4159054000,22586
경기,화성시,봉담읍,18316,경기도 화성시 봉담읍 샘마을1길 7 ,봉담읍행정복지센터,126.9502606,37.2202551,4159025300,102929
경기,화성시,비봉면,18284,경기도 화성시 비봉면 비봉로71번길 1,비봉면행정복지센터,126.8738985,37.2357878,4159032000,7687
경기,화성시,새솔동,18236,경기도 화성시 수노을중앙로 178,새솔동행정복지센터,126.8187676,37.281286,4159051500,26895
경기,화성시,서신면,18555,경기도 화성시 서신면 궁평항로 1702 ,서신면행정복지센터,126.708788,37.1666435,4159035000,7161
경기,화성시,송산면,18549,경기도 화성시 송산면 매봉산길 12 ,송산면행정복지센터,126.739138,37.217818,4159034000,10642
경기,화성시,양감면,18633,경기도 화성시 양감면 초록로 7,양감면행정복지센터,126.9454246,37.0816711,4159040000,3921
경기,화성시,우정읍,18563,경기도 화성시 우정읍 쌍봉로 109-14 ,우정읍행정복지센터,126.8154594,37.0898278,4159025600,17134
경기,화성시,장안면,18584,경기도 화성시 장안면 포승장안로 1460-7,장안면행정복지센터,126.8313488,37.0798333,4159037000,9690
경기,화성시,정남면,18519,경기도 화성시 정남면 서봉로 998 ,정남면행정복지센터,126.9711531,37.1605049,4159041000,10692
경기,화성시,진안동,18400,경기도 화성시 병점4로 34,진안동행정복지센터,127.0349812,37.2133416,4159052000,50032
경기,화성시,팔탄면,18527,경기도 화성시 팔탄면 구장길 14 ,팔탄면행정복지센터,126.9049012,37.1622339,4159036000,9530
경기,화성시,향남읍,18592,경기도 화성시 향남읍 발안로 89 ,향남읍행정복지센터,126.92032,37.1324392,4159025900,85692
경기,화성시,화산동,18360,경기도 화성시 화산중앙로 16,화산동행정복지센터,127.0148595,37.2061596,4159057000,27809
경남,거제시,거제면,53286,경상남도 거제시 거제면 서상길 1,거제면사무소,128.5904,34.851057,4831034000,6883
경남,거제시,고현동,53256,경상남도 거제시 거제중앙로13길 24,고현동주민센터,128.6184729,34.8821897,4831058000,36297
경남,거제시,남부면,53333,경상남도 거제시 남부면 남부해안로 30,남부면사무소,128.6101455,34.7321698,4831033000,1468
경남,거제시,능포동,53313,경상남도 거제시 능포로 182,능포동주민센터,128.7345659,34.879199,4831053000,8516
경남,거제시,동부면,53331,경상남도 거제시 동부면 동부로 16,동부면사무소,128.6081814,34.8215917,4831032000,2868
경남,거제시,둔덕면,53281,경상남도 거제시 둔덕면 거제남서로 4620,둔덕면사무소,128.5051009,34.8369069,4831035000,2659
경남,거제시,사등면,53276,경상남도 거제시 사등면 성포로 104,사등면사무소,128.5223,34.918943,4831036000,11909
경남,거제시,상문동,53294,경상남도 거제시 거제중앙로 1641,상문동주민센터,128.6379441,34.8680902,4831059000,34023
경남,거제시,수양동,53241,경상남도 거제시 제산로5길 26,수양동주민센터,128.6462865,34.887941,4831060000,22359
