시도,시군구,읍면동,우편번호,주소,센터명,경도,위도,행정구역코드,인구수,nearest_er_hpid_1st,nearest_er_travel_time_1st,nearest_er_hpid_2nd,nearest_er_travel_time_2nd,nearest_er_hpid_3rd,nearest_er_travel_time_3rd,nearest_er_hpid_center,nearest_er_travel_time_center,측정시각
경북,포항시 남구,대송면,37857,경상북도 포항시 남구 대송면 장동홍계길 19,대송면행정복지센터,129.359925,35.968501,4711131000,3148,A2700008,11.4865,A2700016,13.1946,A2700002,13.9905,A2700002,13.9905,20241107_010242
경북,포항시 남구,대이동,37685,경상북도 포항시 남구 대이로 17,대이동행정복지센터,129.3429899,36.0172502,4711159000,24410,A2700016,3.3673,A2700008,4.9241,A2700002,9.2165,A2700002,9.2165,20241107_010243
경북,포항시 남구,동해면,37926,경상북도 포항시 남구 동해면 일월로 66,동해면행정복지센터,129.4401691,35.9884726,4711132000,9310,A2700002,15.241,A2700016,19.7598,A2702563,21.3562,A2700002,15.241,20241107_010244
경북,포항시 남구,상대동,37766,경상북도 포항시 남구 상대로 98,상대동행정복지센터,129.3569633,36.0140192,4711152500,23278,A2700002,3.8777,A2700016,6.6238,A2700008,9.3953,A2700002,3.8777,20241107_010245
경북,포항시 남구,송도동,37800,경상북도 포항시 남구 송림로 25,송도동행정복지센터,129.3786677,36.0361131,4711155000,11325,A2702563,6.9419,A2700002,8.6219,A2700005,9.4725,A2700002,8.6219,20241107_010246
경북,포항시 남구,연일읍,37852,경상북도 포항시 남구 연일읍 철강로 10,연일읍행정복지센터,129.3441,35.991618,4711125300,28398,A2700016,8.2553,A2700008,11.0453,A2700002,11.7495,A2700002,11.7495,20241107_010246
경북,포항시 남구,오천읍,37912,경상북도 포항시 남구 오천읍 세계길 5,오천읍행정복지센터,129.4146597,35.9631672,4711125600,57335,A2700002,17.8187,A2700008,18.4227,A2700016,19.2255,A2700002,17.8187,20241107_010247
경북,포항시 남구,장기면,37945,경상북도 포항시 남구 장기면 읍내길 99,장기면행정복지센터,129.49229,35.8957657,4711133000,3796,A2700008,32.7405,A2700016,33.9486,A2700002,35.3517,A2700002,35.3517,20241107_010248
경북,포항시 남구,제철동,37878,경상북도 포항시 남구 인덕로 79,제철동행정복지센터,129.397125,35.992318,4711157000,2325,A2700002,8.3788,A2700016,13.183,A2702563,14.7075,A2700002,8.3788,20241107_010249
경북,포항시 남구,청림동,37920,경상북도 포항시 남구 신항로 10,청림동행정복지센터,129.4056856,35.9973642,4711156000,4716,A2700002,11.5077,A2700016,16.1021,A2702563,17.7173,A2700002,11.5077,20241107_010250
경북,포항시 남구,해도동,37795,경상북도 포항시 남구 상공로 235,해도동행정복지센터,129.3714395,36.0232746,4711154500,16203,A2700002,4.8757,A2702563,9.0465,A2700005,10.5232,A2700002,4.8757,20241107_010250
