hpid1,hpid2,travel_time,측정시각
A1300004,A2700052,150.0098,241110_190845
A1300004,A2700063,70.5531,241110_190845
A1300004,A2700066,38.6038,241110_190845
A1300004,A2700070,39.8626,241110_190845
A1300004,A2700071,108.3213,241110_190845
A1300004,A2700097,74.4809,241110_190845
A1300004,A2702563,83.9887,241110_190845
A1300004,A2702752,94.6677,241110_190845
A1300004,E2700553,360.2505,241110_190845
A1300004,E2700554,87.6031,241110_190845
A1300005,A1300001,30.3551,241110_190845
A1300005,A1300002,23.7438,241110_190845
A1300005,A1300003,20.9296,241110_190845
A1300005,A1300004,27.325,241110_190845
A1300005,A1300006,22.088,241110_190845
A1300005,A1300007,19.9268,241110_190845
A1300005,A1300008,24.2799,241110_190845
A1300005,A1300009,26.0314,241110_190845
A1300005,A1300010,8.5281,241110_190845
A1300005,A1300011,31.7415,241110_190845
A1300005,A1300018,29.3157,241110_190845
A1300005,A1300033,24.1158,241110_190845
A1300005,A1300034,28.0278,241110_190845
A1300005,A1300038,22.3888,241110_190845
A1300005,A1300045,27.433,241110_190845
A1300005,A1300076,28.1957,241110_190845
A1300005,A1300081,30.4398,241110_190845
A1300005,A1300110,22.5459,241110_190845
A1300005,A1303386,25.8872,241110_190845
A1300005,A1303449,35.1341,241110_190845
A1300005,A2700001,66.3933,241110_190845
A1300005,A2700002,71.225,241110_190845
A1300005,A2700003,64.607,241110_190845
A1300005,A2700004,64.4426,241110_190845
A1300005,A2700005,67.8632,241110_190845
A1300005,A2700006,70.3432,241110_190845
A1300005,A2700007,37.7522,241110_190845
A1300005,A2700008,61.8079,241110_190845
A1300005,A2700009,63.4952,241110_190845
A1300005,A2700011,63.9959,241110_190845
A1300005,A2700012,51.9442,241110_190845
A1300005,A2700013,35.642,241110_190845
A1300005,A2700014,59.5757,241110_190845
A1300005,A2700015,36.6127,241110_190845
A1300005,A2700016,66.6242,241110_190845
A1300005,A2700017,48.4406,241110_190845
A1300005,A2700018,51.7806,241110_190845
A1300005,A2700019,39.5959,241110_190845
A1300005,A2700020,77.647,241110_190845
A1300005,A2700023,71.4225,241110_190845
A1300005,A2700026,94.8283,241110_190845
A1300005,A2700030,37.0844,241110_190845
A1300005,A2700031,78.455,241110_190845
A1300005,A2700036,39.0088,241110_190845
A1300005,A2700038,43.227,241110_190845
A1300005,A2700052,132.239,241110_190845
A1300005,A2700063,53.2045,241110_190845
A1300005,A2700066,26.1773,241110_190845
A1300005,A2700070,36.0527,241110_190845
A1300005,A2700071,90.212,241110_190845
A1300005,A2700097,63.6598,241110_190845
