hpid1,hpid2,travel_time,측정시각
A1300010,A1300033,22.5097,241114_121943
A1300010,A1300034,31.7854,241114_121943
A1300010,A1300038,26.3237,241114_121943
A1300010,A1300045,31.3067,241114_121943
A1300010,A1300076,32.4464,241114_121943
A1300010,A1300081,26.2867,241114_121943
A1300010,A1300110,24.1848,241114_121943
A1300010,A1303386,27.4984,241114_121943
A1300010,A1303449,44.6354,241114_121943
A1300010,A2700001,66.6912,241114_121943
A1300010,A2700002,73.3502,241114_121943
A1300010,A2700003,59.587,241114_121943
A1300010,A2700004,64.9602,241114_121943
A1300010,A2700005,67.6338,241114_121943
A1300010,A2700006,68.7671,241114_121943
A1300010,A2700007,37.0598,241114_121943
A1300010,A2700008,61.6309,241114_121943
A1300010,A2700009,63.1874,241114_121943
A1300010,A2700011,63.3991,241114_121943
A1300010,A2700012,50.7476,241114_121943
A1300010,A2700013,35.1226,241114_121943
A1300010,A2700014,59.2318,241114_121943
A1300010,A2700015,36.0473,241114_121943
A1300010,A2700016,66.6629,241114_121943
A1300010,A2700017,43.8339,241114_121943
A1300010,A2700018,50.5457,241114_121943
A1300010,A2700019,35.3078,241114_121943
A1300010,A2700020,77.6042,241114_121943
A1300010,A2700023,70.6964,241114_121943
A1300010,A2700026,95.8802,241114_121943
A1300010,A2700030,36.4362,241114_121943
A1300010,A2700031,78.648,241114_121943
A1300010,A2700036,33.9519,241114_121943
A1300010,A2700038,39.2916,241114_121943
A1300010,A2700052,132.8663,241114_121943
A1300010,A2700063,52.2292,241114_121943
A1300010,A2700066,25.4916,241114_121943
A1300010,A2700070,40.8355,241114_121943
A1300010,A2700071,90.6262,241114_121943
A1300010,A2700097,59.2651,241114_121943
A1300010,A2702563,70.8254,241114_121943
A1300010,A2702752,76.8623,241114_121943
A1300010,E2700553,386.7048,241114_121943
A1300010,E2700554,68.6707,241114_121943
A1300011,A1300001,15.0466,241114_121943
A1300011,A1300002,18.435,241114_121943
A1300011,A1300003,23.6799,241114_121943
A1300011,A1300004,16.729,241114_121943
A1300011,A1300005,24.2141,241114_121943
A1300011,A1300006,17.2058,241114_121943
A1300011,A1300007,20.6036,241114_121943
A1300011,A1300008,23.879,241114_121943
A1300011,A1300009,23.8622,241114_121943
A1300011,A1300010,28.235,241114_121943
A1300011,A1300018,26.4977,241114_121943
A1300011,A1300033,20.0293,241114_121943
A1300011,A1300034,14.5441,241114_121943
A1300011,A1300038,10.0546,241114_121943
A1300011,A1300045,12.7507,241114_121943
A1300011,A1300076,20.5963,241114_121943
A1300011,A1300081,23.7109,241114_121943
A1300011,A1300110,17.7098,241114_121943
A1300011,A1303386,20.401,241114_121943
A1300011,A1303449,22.0016,241114_121943
A1300011,A2700001,81.5666,241114_121943
A1300011,A2700002,80.9287,241114_121943
A1300011,A2700003,66.2923,241114_121943
A1300011,A2700004,79.7369,241114_121943
A1300011,A2700005,75.2949,241114_121943
A1300011,A2700006,80.033,241114_121943
A1300011,A2700007,46.4225,241114_121943
A1300011,A2700008,69.2573,241114_121943
A1300011,A2700009,73.8157,241114_121943
A1300011,A2700011,75.3724,241114_121943
A1300011,A2700012,60.1956,241114_121943
A1300011,A2700013,44.5633,241114_121943
A1300011,A2700014,74.3124,241114_121943
A1300011,A2700015,51.176,241114_121943
A1300011,A2700016,74.3215,241114_121943
A1300011,A2700017,53.7099,241114_121943
A1300011,A2700018,59.9674,241114_121943
A1300011,A2700019,28.6276,241114_121943
A1300011,A2700020,92.4907,241114_121943
A1300011,A2700023,85.7658,241114_121943
A1300011,A2700026,110.6638,241114_121943
A1300011,A2700030,44.7452,241114_121943
A1300011,A2700031,93.5145,241114_121943
A1300011,A2700036,32.5393,241114_121943
A1300011,A2700038,40.0269,241114_121943
A1300011,A2700052,147.6845,241114_121943
A1300011,A2700063,68.4223,241114_121943
A1300011,A2700066,34.9027,241114_121943
A1300011,A2700070,36.6284,241114_121943
A1300011,A2700071,105.5157,241114_121943
A1300011,A2700097,66.0672,241114_121943
A1300011,A2702563,78.4976,241114_121943
A1300011,A2702752,91.6903,241114_121943
A1300011,E2700553,398.2594,241114_121943
A1300011,E2700554,83.6098,241114_121943
A1300018,A1300001,31.3235,241114_121943
A1300018,A1300002,22.8625,241114_121943
A1300018,A1300003,34.0164,241114_121943
A1300018,A1300004,37.4003,241114_121943
A1300018,A1300005,26.3784,241114_121943
A1300018,A1300006,30.6863,241114_121943
A1300018,A1300007,31.6571,241114_121943
A1300018,A1300008,23.9493,241114_121943
A1300018,A1300009,12.2785,241114_121943
A1300018,A1300010,23.0805,241114_121943
A1300018,A1300011,29.8474,241114_121943
A1300018,A1300033,18.5996,241114_121943
A1300018,A1300034,34.4343,241114_121943
A1300018,A1300038,33.4559,241114_121943
A1300018,A1300045,35.8621,241114_121943
A1300018,A1300076,36.0075,241114_121943
A1300018,A1300081,17.2647,241114_121943
A1300018,A1300110,31.1455,241114_121943
A1300018,A1303386,27.7048,241114_121943
A1300018,A1303449,45.8063,241114_121943
A1300018,A2700001,83.5616,241114_121943
A1300018,A2700002,65.7215,241114_121943
A1300018,A2700003,54.9599,241114_121943
A1300018,A2700004,81.2948,241114_121943
A1300018,A2700005,60.026,241114_121943
A1300018,A2700006,80.7333,241114_121943
A1300018,A2700007,47.3819,241114_121943
A1300018,A2700008,54.1614,241114_121943
A1300018,A2700009,74.5794,241114_121943
A1300018,A2700011,76.1055,241114_121943
A1300018,A2700012,61.334,241114_121943
A1300018,A2700013,45.5882,241114_121943
A1300018,A2700014,76.209,241114_121943
A1300018,A2700015,52.2287,241114_121943
A1300018,A2700016,59.1643,241114_121943
A1300018,A2700017,38.9444,241114_121943
A1300018,A2700018,61.1614,241114_121943
A1300018,A2700019,26.8891,241114_121943
A1300018,A2700020,95.2058,241114_121943
A1300018,A2700023,88.4367,241114_121943
A1300018,A2700026,113.5158,241114_121943
A1300018,A2700030,46.9985,241114_121943
A1300018,A2700031,96.2288,241114_121943
A1300018,A2700036,23.5778,241114_121943
A1300018,A2700038,30.3448,241114_121943
A1300018,A2700052,138.328,241114_121943
A1300018,A2700063,71.0516,241114_121943
A1300018,A2700066,36.0934,241114_121943
A1300018,A2700070,47.7196,241114_121943
A1300018,A2700071,108.4294,241114_121943
A1300018,A2700097,54.5875,241114_121943
A1300018,A2702563,63.3162,241114_121943
A1300018,A2702752,94.4451,241114_121943
